,CID,smiles
238,10750392,CC=CC=COCCCOC(=O)C=C
239,159123917,C.CC(=C)C(=O)OCCCCCCC12CC3CC(C1)CC(C3)C2.CC(=C)C(=O)OC1(C2CC3CC(C2)CC1C3)C.CC1(C2CC3CC(C2)CC1C3)OC(=O)C=C.C=CC(=O)OCCCCCCC12CC3CC(C1)CC(C3)C2.C=CC(=O)OCCC12CC3CC(C1)CC(C3)C2
240,160172507,C=CC(=O)[O-].C=CC(=O)[O-].C=CC(=O)[O-].[U+3]
241,145754588,CO[Si](CO)(COC(=O)C=C)OC
242,57674215,COC(=O)[C-]=C.[Rb+]
243,145754634,CC(=C)C(=O)OCCOC(C)(C)OCCOC(=O)C=C
244,146541083,C[NH2+]CCOC(=O)C=C.[Cl-]
245,88345128,C=C.C=CC(=O)OCC=CO
246,87558707,CCOCC.CCOC(=O)C=C
247,161221200,C.C=CCOCC1CO1.C=CC(=O)OCC1CO1
248,146541144,CC(C)(C)C(C1CCCCC1)OC(=O)C=C
249,146541147,CCC(N(CC)CC)OC(=O)C=C.CCN(CC)C(C)COC(=O)C=C
250,157289077,C=CC(=O)OCC(C(F)(F)F)(OC(=O)C=C)F
251,159910530,CC1=C(C=C(C=C1)N(C2=CC=C(C=C2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)C5=CC=C(C=C5)O)C.CC(=C)C(=O)OCCC1=CC=C(C=C1)N(C2=CC=C(C=C2)CCOC(=O)C=C)C3=CC=C(C=C3)C4=CC=C(C=C4)CC5=CC=CC=C5.C=CC(=O)OCCCC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3
252,160959127,C=CC(=O)O.C=CC(=O)OCC(COC(=O)C=C)OC(=O)C=C
253,21498519,CCCCCCCCCCCCOC(=O)C(=C)C.CCCCOC(=O)C=C
254,88607399,CCN(CC)CCOC(=O)C=C.OS(=O)(=O)O
255,88607400,CCN(CC)C(C)OC(=O)C=C.OS(=O)(=O)O
256,9964225,CC(OC)OCCOC(=O)C=C
257,87296711,COC(CC(C(F)(F)F)(F)F)COC(=O)C=C
258,87296725,CCCCOC(=O)C=C.CC(=C)C(=O)OCC[N+](C)(C)C.[Br-]
259,57150169,CC(C(C)(C)OC(=O)C=C)OS(=O)(=O)OC
260,139725537,C=CC(=O)OCCCCCCCCCCl
261,158599908,C.C=CC(=O)OCCCCCCOC(=O)C=C
262,117705449,CCC1(CC1C)OC(=O)C=C
263,161221375,CCC(C)OC(=O)C=C.[Al]
264,9964299,CCOC(C)OCCOC(=O)C=C
265,89656077,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC.CCCCOC(=O)C=C
266,57936665,C=CC(=O)OCCOCCOCC(=O)OC(=O)C=C
267,57936678,CCO[Si](CCC(=O)OCCOCCOC(=O)C=C)(OCC)OCC
268,57936683,C=CC(=O)OCCOCC=O
269,57936680,C=CC(=O)OCCOCCOCC(=O)O
270,156240686,CCCCCCCC(=C)OC(=O)C=C
